Date,State,Prices,Production
07-01-2018,Punjab,1414,1900
08-01-2018,Punjab,1375,1870
09-01-2018,Punjab,1354,1851
10-01-2018,Punjab,1339,1862
11-01-2018,Punjab,1361,1895
12-01-2018,Punjab,1409,1928
01-01-2019,Punjab,1460,1984
02-01-2019,Punjab,1431,2015
03-01-2019,Punjab,1432,1992
04-01-2019,Punjab,1429,1985
05-01-2019,Punjab,1395,1935
06-01-2019,Punjab,1421,1970
07-01-2019,Punjab,1466,2009
08-01-2019,Punjab,1487,2050
09-01-2019,Punjab,1483,2025
10-01-2019,Punjab,1485,2033
11-01-2019,Punjab,1472,2018
12-01-2019,Punjab,1464,2006
01-01-2020,Punjab,3150,3100
02-01-2020,Punjab,3150,3100
03-01-2020,Punjab,2900,2950
04-01-2020,Punjab,1426,1982
05-01-2020,Punjab,1522,2078
06-01-2020,Punjab,3200,3250
07-01-2020,Punjab,3100,3130
08-01-2020,Punjab,3050,3080
09-01-2020,Punjab,1985,2070
10-01-2020,Punjab,2650,2820
11-01-2020,Punjab,2910,2960
12-01-2020,Punjab,3150,3100
01-01-2021,Punjab,3300,3375
02-01-2021,Punjab,3300,3375
03-01-2021,Punjab,3250,3330
04-01-2021,Punjab,3200,3280
05-01-2021,Punjab,3150,3230
06-01-2021,Punjab,2800,2840
07-01-2021,Punjab,2800,2840
08-01-2021,Punjab,2800,2840
09-01-2021,Punjab,2925,2975
10-01-2021,Punjab,3225,3265
11-01-2021,Punjab,3900,3940
12-01-2021,Punjab,3600,3630
01-01-2022,Punjab,3475,3520
02-01-2022,Punjab,3650,3685
03-01-2022,Punjab,3750,3775
04-01-2022,Punjab,3867,3920
05-01-2022,Punjab,2288,2370
06-01-2022,Punjab,2337,2423
07-01-2022,Punjab,2391,2475
08-01-2022,Punjab,2448,2551
09-01-2022,Punjab,3342,3401
10-01-2022,Punjab,3238,3297
11-01-2022,Punjab,3825,3865
12-01-2022,Punjab,4330,4430
01-01-2023,Punjab,4188,4278
02-01-2023,Punjab,4269,4365
03-01-2023,Punjab,4040,4110
04-01-2023,Punjab,4150,4230
05-01-2023,Punjab,2501,2614
06-01-2023,Punjab,2552,2669
07-01-2023,Punjab,2606,2730
08-01-2023,Punjab,2655,2774
09-01-2023,Punjab,3460,3521
10-01-2023,Punjab,3363,3412
11-01-2023,Punjab,3788,3912
12-01-2023,Punjab,4388,4467
01-01-2024,Punjab,4625,4700
02-01-2024,Punjab,2682,2769
03-01-2024,Punjab,2730,2815
04-01-2024,Punjab,2750,2830
05-01-2024,Punjab,2771,2851
06-01-2024,Punjab,2792,2872
07-01-2024,Punjab,2814,2893
08-01-2024,Punjab,2835,2911
09-01-2024,Punjab,2950,3035
10-01-2024,Punjab,2858,2923
11-01-2024,Punjab,3070,3110
12-01-2024,Punjab,3321,3380
01-01-2025,Punjab,2733,2801
02-01-2025,Punjab,2750,2810
03-01-2025,Punjab,2768,2823
04-01-2025,Punjab,2786,2837
05-01-2025,Punjab,2804,2850
06-01-2025,Punjab,2823,2862
07-01-2018,Delhi,1605,0
08-01-2018,Delhi,1579,0
09-01-2018,Delhi,1497,0
10-01-2018,Delhi,1408,0
11-01-2018,Delhi,1581,0
12-01-2018,Delhi,1810,0
01-01-2019,Delhi,1503,0
02-01-2019,Delhi,1445,0
03-01-2019,Delhi,1442,0
04-01-2019,Delhi,1464,0
05-01-2019,Delhi,1486,0
06-01-2019,Delhi,1463,0
07-01-2019,Delhi,1057,0
08-01-2019,Delhi,1031,0
09-01-2019,Delhi,1017,0
10-01-2019,Delhi,1075,0
11-01-2019,Delhi,1070,0
12-01-2019,Delhi,1132,0
01-01-2020,Delhi,1467,0
02-01-2020,Delhi,1479,0
03-01-2020,Delhi,1480,0
04-01-2020,Delhi,1484,0
05-01-2020,Delhi,1504,0
06-01-2020,Delhi,1508,0
07-01-2020,Delhi,1511,0
08-01-2020,Delhi,1515,0
09-01-2020,Delhi,1518,0
10-01-2020,Delhi,1522,0
11-01-2020,Delhi,1525,0
12-01-2020,Delhi,1529,0
01-01-2021,Delhi,1533,0
02-01-2021,Delhi,1536,0
03-01-2021,Delhi,1540,0
04-01-2021,Delhi,1543,0
05-01-2021,Delhi,1563,0
06-01-2021,Delhi,1567,0
07-01-2021,Delhi,1570,0
08-01-2021,Delhi,1574,0
09-01-2021,Delhi,1577,0
10-01-2021,Delhi,1581,0
11-01-2021,Delhi,1584,0
12-01-2021,Delhi,1588,0
01-01-2022,Delhi,1591,0
02-01-2022,Delhi,1595,0
03-01-2022,Delhi,1598,0
04-01-2022,Delhi,1602,0
05-01-2022,Delhi,1622,0
06-01-2022,Delhi,1626,0
07-01-2022,Delhi,1629,0
08-01-2022,Delhi,1633,0
09-01-2022,Delhi,1636,0
10-01-2022,Delhi,1640,0
11-01-2022,Delhi,1643,0
12-01-2022,Delhi,1647,0
01-01-2023,Delhi,1650,0
02-01-2023,Delhi,1654,0
03-01-2023,Delhi,1657,0
04-01-2023,Delhi,1661,0
05-01-2023,Delhi,1681,0
06-01-2023,Delhi,1685,0
07-01-2023,Delhi,1688,0
08-01-2023,Delhi,1692,0
09-01-2023,Delhi,1695,0
10-01-2023,Delhi,1699,0
11-01-2023,Delhi,1702,0
12-01-2023,Delhi,1583,0
01-01-2024,Delhi,1524,0
02-01-2024,Delhi,1562,0
03-01-2024,Delhi,1568,0
04-01-2024,Delhi,1593,0
05-01-2024,Delhi,1600,0
06-01-2024,Delhi,1606,0
07-01-2024,Delhi,1609,0
08-01-2024,Delhi,1614,0
09-01-2024,Delhi,1619,0
10-01-2024,Delhi,1623,0
11-01-2024,Delhi,1628,0
12-01-2024,Delhi,1632,0
01-01-2025,Delhi,1637,0
02-01-2025,Delhi,1641,0
03-01-2025,Delhi,1646,0
04-01-2025,Delhi,1680,0
05-01-2025,Delhi,1684,0
06-01-2025,Delhi,1689,0
07-01-2018,West Bengal,1693,2000
08-01-2018,West Bengal,1698,1969
